Wavelength,Excitation,Emission
300,19.88025,0
301,17.95591,0
302,16.22282,0
303,14.71552,0
304,13.54185,0
305,11.65922,0
306,9.990467,0
307,8.364016,0
308,7.351206,0
309,6.767352,0
310,5.790885,0
311,5.075365,0
312,5.266607,0
313,4.616622,0
314,4.271671,0
315,3.967233,0
316,4.557641,0
317,3.734882,0
318,3.878463,0
319,4.086982,0
320,4.051236,0
321,4.134644,0
322,4.134644,0
323,4.206137,0
324,4.229967,0
325,4.175752,0
326,3.961275,0
327,4.724456,0
328,4.307417,0
329,4.206137,0
330,4.629133,0
331,4.396187,0
332,4.610664,0
333,4.860888,0
334,5.033661,0
335,5.045577,0
336,5.21835,0
337,5.379804,0
338,5.617516,0
339,5.831993,0
340,6.088174,0
341,6.213285,0
342,6.326482,0
343,6.446232,0
344,6.582663,0
345,6.833482,0
346,6.779863,0
347,7.041406,0
348,7.089664,0
349,7.131368,0
350,7.316056,0
351,7.59011,0
352,7.738457,0
353,8.107834,0
354,8.125708,0
355,8.346738,0
356,8.560619,0
357,8.989573,0
358,8.853143,0
359,9.007447,0
360,9.162348,0
361,9.287458,0
362,9.240394,0
363,9.448913,0
364,9.448913,0
365,9.686625,0
366,9.693179,0
367,9.895741,0
368,10.24724,0
369,10.33065,0
370,10.35389,0
371,10.75365,0
372,10.87221,0
373,11.10515,0
374,11.23027,0
375,11.5216,0
376,11.37325,0
377,11.35538,0
378,11.55794,0
379,11.42627,0
380,11.06345,0
381,11.02175,0
382,10.79535,0
383,10.9443,0
384,10.42598,0
385,10.35985,0
386,10.14001,0
387,9.961275,0
388,9.854036,0
389,9.812332,0
390,9.693179,0
391,9.752755,0
392,9.669348,0
393,9.847483,0
394,9.752755,0
395,9.805779,0
396,9.770629,0
397,9.787906,0
398,9.812332,0
399,9.836164,0
400,9.627644,0
401,9.603217,0
402,9.532321,0
403,9.484659,0
404,9.120644,0
405,9.174263,0
406,8.829312,0
407,8.668454,0
408,8.358654,0
409,8.185881,0
410,7.935061,0
411,7.625261,0
412,7.297587,0
413,7.08311,0
414,6.791779,0
415,6.493894,0
416,6.237712,0
417,6.070301,0
418,5.719393,0
419,5.391719,0
420,5.236819,0
421,4.956807,0
422,4.580876,0
423,4.557641,0
424,4.288949,0
425,4.038725,0
426,3.89574,0
427,3.753351,0
428,3.437593,0
429,3.437593,0
430,3.276139,0
431,3.085493,0
432,2.942508,0
433,3.008043,0
434,2.806077,0
435,2.876974,0
436,2.716115,0
437,2.620792,0
438,2.639261,0
439,2.567769,0
440,2.490319,0
441,2.436104,0
442,2.377122,0
443,2.38308,0
444,2.388442,0
445,2.418826,0
446,2.388442,0
447,2.442657,0
448,2.454573,0
449,2.341376,0
450,2.287161,0
451,2.341376,0
452,2.251415,0
453,2.377122,0
454,2.257373,0
455,2.275246,0
456,2.430146,0
457,2.371165,0
458,2.371165,0
459,2.364611,0
460,2.526065,0
461,2.3944,0
462,2.454573,0
463,2.47185,0
464,2.501638,0
465,2.436104,0
466,2.639261,0
467,2.722073,0
468,2.751862,0
469,2.698838,0
470,2.83527,0
471,2.829312,0
472,2.960977,0
473,2.931189,0
474,3.151028,0
475,3.098004,0
476,3.145666,0
477,3.264224,0
478,3.383378,0
479,3.37742,0
480,3.473339,0
481,3.610366,0
482,3.687817,0
483,3.66339,0
484,3.973786,0
485,4.057194,0
486,4.241883,0
487,4.349122,0
488,4.54513,0
489,4.736372,0
490,4.998511,0
491,5.070003,0
492,5.301757,0
493,5.552577,0
494,5.826035,0
495,5.96902,0
496,6.267501,0
497,6.535597,0
498,6.868632,0
499,7.220733,0
500,7.482276,0
501,7.67888,0
502,8.060769,0
503,8.227585,0
504,8.698243,0
505,8.918081,0
506,9.180817,0
507,9.513852,0
508,9.871313,0
509,10.03872,0
510,10.42598,0
511,10.56241,0
512,10.90795,0
513,11.21239,0
514,11.57581,0
515,11.94519,0
516,12.36759,0
517,12.71969,0
518,13.14805,0
519,13.61871,0
520,14.33363,0
521,14.82872,0
522,15.49002,0
523,16.23414,0
524,16.91987,0
525,17.66458,0
526,18.42657,0
527,19.43998,0
528,20.41108,0
529,21.50134,0
530,22.68633,0
531,23.83676,0
532,24.93834,0
533,26.19541,0
534,27.41734,0
535,28.76378,0
536,29.93089,0
537,31.20048,0
538,32.66011,0
539,33.83974,0
540,35.02472,0
541,36.19303,0
542,37.34227,0
543,38.4504,0
544,39.41615,0
545,40.33303,0
546,41.25052,0
547,42.09056,0
548,42.72803,0
549,43.33632,0
550,43.82425,0
551,44.27763,0
552,44.47364,0
553,44.78999,0
554,45.02234,0
555,45.21239,0
556,45.39172,0
557,45.67113,0
558,45.74858,0
559,46.0709,0
560,46.42181,0
561,46.81501,0
562,47.27435,0
563,47.96485,0
564,48.91212,0
565,49.7462,0
566,50.96813,0
567,52.04647,0
568,53.8034,0
569,55.40662,0
570,57.4078,0
571,59.21894,0
572,61.61394,0
573,63.81293,0
574,66.41585,0
575,68.85851,0
576,71.74859,0
577,74.51296,0
578,77.37206,0
579,80.01788,0
580,82.80548,6.159652
581,85.46322,6.657252
582,88.1561,7.393682
583,90.5624,8.439029
584,92.80906,9.697656
585,94.79833,11.0455
586,96.49092,12.52446
587,97.71224,14.19956
588,98.84421,16.21023
589,99.55853,18.36772
590,100,20.67448
591,99.77957,23.06124
592,99.4519,25.72563
593,98.54572,28.82137
594,97.40781,31.39201
595,95.88919,34.48686
596,93.85106,37.65972
597,91.64731,41.22657
598,89.00745,44.79509
599,86.1543,48.51176
600,83.11588,52.36294
601,79.92195,56.10341
602,76.34793,59.79898
603,72.83229,63.7296
604,69.04319,67.78604
605,65.28448,71.54912
606,61.44117,74.81172
607,57.59905,78.44492
608,53.79208,81.79675
609,49.95472,84.75771
610,46.42836,87.60434
611,42.90736,90.36494
612,39.60679,92.63379
613,36.36521,94.40963
614,33.23205,95.86674
615,30.49747,97.46132
616,27.82246,98.5704
617,25.23682,99.58007
618,23.00804,100
619,20.78582,99.82571
620,18.82574,99.60434
621,17.08013,99.47138
622,15.41793,98.47868
623,13.85702,97.6152
624,12.43968,96.81441
625,11.15222,95.33356
626,10.02085,93.43191
627,9.090855,91.77079
628,8.013107,89.87393
629,7.208221,88.16347
630,6.660709,85.91565
631,5.843908,84.12842
632,5.308311,81.89742
633,4.801311,79.76271
634,4.30146,77.06181
635,3.824248,74.86134
636,3.490617,72.83564
637,3.062258,70.24368
638,2.75782,67.88036
639,2.47185,65.78358
640,2.299672,63.6376
641,2.085195,61.58537
642,2.007745,59.49122
643,1.775395,57.66385
644,1.637772,55.54511
645,1.626452,53.62628
646,1.381591,52.26034
647,1.393506,50.51135
648,1.352398,48.88625
649,1.227286,47.27924
650,1.214775,45.80135
651,1.107536,44.53698
652,1.102175,43.27085
653,1.036044,42.0849
654,1.006256,40.80254
655,0.9168901,39.76564
656,0.8579088,38.83087
657,0.9347631,37.70473
658,0.9347631,37.06108
659,0.899017,36.12849
660,0.9115282,35.35397
661,0.8042896,34.63075
662,0.875782,34.16343
663,0.7327971,33.4713
664,0.7208818,32.6449
665,0.7619898,32.10725
666,0.6785821,31.58802
667,0.7917784,30.96013
668,0.6493893,30.23204
669,0.7441167,29.76477
670,0.6851355,28.91156
671,0.7387549,28.51897
672,0.6904975,28.09375
673,0.7327971,27.64659
674,0.5773011,26.89773
675,0.7083706,26.57753
676,0,26.15461
677,0,25.553
678,0,25.07635
679,0,24.57134
680,0,24.15125
681,0,23.70088
682,0,23.18129
683,0,22.63349
684,0,22.18079
685,0,21.75091
686,0,21.26381
687,0,20.66264
688,0,20.10799
689,0,19.6894
690,0,19.32303
691,0,18.72565
692,0,18.39428
693,0,17.80299
694,0,17.46973
695,0,16.96676
696,0,16.58983
697,0,16.25421
698,0,15.8811
699,0,15.22661
700,0,14.91386
701,0,14.38712
702,0,13.97341
703,0,13.52077
704,0,13.00403
705,0,12.51318
706,0,12.24539
707,0,11.8706
708,0,11.48916
709,0,10.98058
710,0,10.65321
711,0,10.24641
712,0,10.03522
713,0,9.651175
714,0,9.36594
715,0,9.011077
716,0,8.51892
717,0,8.315224
718,0,8.065984
719,0,7.658446
720,0,7.36029
721,0,7.313755
722,0,7.034952
723,0,6.722994
724,0,6.35893
725,0,6.191506
726,0,6.046386
727,0,5.854695
728,0,5.79458
729,0,5.538778
730,0,5.463121
731,0,5.323188
732,0,5.202738
733,0,5.112418
734,0,4.845291
735,0,4.817102
736,0,4.67255
737,0,4.586245
738,0,4.398238
739,0,4.363708
740,0,4.170607
741,0,4.089836
742,0,4.061226
743,0,3.97734
744,0,3.864513
745,0,3.820215
746,0,3.751669
747,0,3.572405
748,0,3.574366
749,0,3.524642
750,0,3.403642
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
