* — 350   blue            346     442     410     19,000      -
* — 405   violet          401     421     1028    35,000      -
* — 430   green           434     541     702     15,000      -
* — 488   cyan-green      495     519     643     73,000      0.92
— 500   green           502     525     700     71,000      -
— 514   green           517     542     714     80,000      -
— 532   green           532     554     721     81,000      0.61
— 546   yellow          556     573     1079    112,000     0.79
— 555   yellow-green    555     565     1250    155,000     0.1
— 568   orange          578     603     792     88,000      0.69
— 594   orange-red      590     617     820     92,000      0.66
— 610   red             612     628     1172    144,000     -
— 633   Far-red         632     647     ~1200   159,000     -
— 635   Far-red         633     647     -       140,000     -
— 647   Far-red         650     665     1155    270,000     0.33
— 660   Near-IR         663     690     ~1100   132,000     0.37
— 680   Near-IR         679     702     ~1150   183,000     0.36
— 700   Near-IR         702     723     ~1400   205,000     0.25
— 750   Near-IR         749     775     ~1300   290,000     0.12
— 790   Near-IR         782     805     -       260,000     -
