Wavelength,ECFP (Tsien 1998) (EX),ECFP (Tsien 1998) (EM)
304,,0.2195
305,,0.21431
306,,0.18574
307,,0.17405
308,,0.16237
309,,0.14679
310,,0.1377
311,,0.12992
312,,0.12343
313,,0.11954
314,,0.11694
315,,0.11305
316,,0.10656
317,,0.10137
318,,0.09618
319,,0.09359
320,,0.09099
321,,0.0884
322,,0.08711
323,,0.08452
324,,0.08322
325,,0.08063
326,,0.07803
327,,0.07544
328,,0.07544
329,,0.07415
330,,0.07546
331,,0.07546
332,,0.07286
333,,0.07027
334,,0.06898
335,,0.07028
336,,0.06899
337,,0.0664
338,,0.0664
339,,0.0677
340,,0.06771
341,,0.06641
342,,0.06772
343,,0.06772
344,,0.06773
345,,0.06903
346,,0.07033
347,,0.07163
348,,0.07294
349,,0.07294
350,,0.07295
351,,0.07425
352,,0.07555
353,,0.07815
354,,0.07816
355,,0.07946
356,,0.08206
357,,0.08337
358,,0.08467
359,,0.08727
360,,0.08857
361,,0.09247
362,,0.09637
363,,0.10027
364,,0.10417
365,,0.10678
366,,0.11068
367,,0.11718
368,,0.12108
369,,0.12368
370,,0.13017
371,,0.13407
372,,0.14057
373,,0.14707
374,,0.15357
375,,0.16007
376,,0.16916
377,,0.17696
378,,0.18476
379,,0.19385
380,,0.20424
381,,0.21334
382,,0.22633
383,,0.23672
384,,0.24972
385,,0.26141
386,,0.2692
387,,0.2796
388,,0.29259
389,,0.30558
390,,0.32247
391,,0.33546
392,,0.34585
393,,0.36274
394,,0.37703
395,,0.39782
396,,0.4199
397,,0.43289
398,,0.45887
399,,0.47576
400,0.01472,0.49134
401,0.01472,0.50953
402,0.01473,0.52642
403,0.01473,0.5498
404,0.01474,0.57578
405,0.01604,0.59007
406,0.01605,0.60566
407,0.01605,0.61475
408,0.01605,0.63294
409,0.01606,0.65242
410,0.01606,0.6745
411,0.01607,0.69139
412,0.01737,0.70438
413,0.01738,0.71737
414,0.01868,0.73166
415,0.02128,0.74466
416,0.02128,0.76544
417,0.02259,0.78233
418,0.02259,0.80051
419,0.0213,0.83169
420,0.0213,0.84468
421,0.02131,0.86156
422,0.02131,0.87715
423,0.02131,0.89664
424,0.02392,0.91482
425,0.02522,0.92911
426,0.02522,0.946
427,0.02653,0.96679
428,0.02783,0.98237
429,0.02913,0.98887
430,0.02914,1.00836
431,0.03044,1.00836
432,0.03174,1.00577
433,0.03175,1.00707
434,0.03305,1.00447
435,0.03305,1.00318
436,0.03436,0.99799
437,0.03436,0.9902
438,0.03566,0.98112
439,0.03697,0.96943
440,0.03827,0.95905
441,0.04087,0.94866
442,0.04218,0.92789
443,0.04478,0.93049
444,0.05128,0.93049
445,0.06037,0.92011
446,0.06297,0.90972
447,0.06687,0.90973
448,0.07467,0.91103
449,0.08376,0.90974
450,0.09805,0.90585
451,0.10455,0.91104
452,0.12534,0.91105
