Wavelength,eGFP (Tsien) (AB),eGFP (Tsien) (EM)
300,0.096,
301,0.087,
302,0.08,
303,0.074,
304,0.067,
305,0.061,
306,0.058,
307,0.054,
308,0.053,
309,0.049,
310,0.049,
311,0.047,
312,0.046,
313,0.045,
314,0.044,
315,0.045,
316,0.044,
317,0.042,
318,0.041,
319,0.04,
320,0.039,
321,0.038,
322,0.035,
323,0.035,
324,0.035,
325,0.035,
326,0.032,
327,0.032,
328,0.032,
329,0.03,
330,0.031,
331,0.03,
332,0.03,
333,0.032,
334,0.031,
335,0.03,
336,0.032,
337,0.032,
338,0.033,
339,0.033,
340,0.035,
341,0.035,
342,0.036,
343,0.036,
344,0.037,
345,0.04,
346,0.041,
347,0.043,
348,0.044,
349,0.047,
350,0.049,
351,0.048,
352,0.051,
353,0.057,
354,0.054,
355,0.056,
356,0.059,
357,0.062,
358,0.065,
359,0.066,
360,0.068,
361,0.072,
362,0.073,
363,0.076,
364,0.08,
365,0.081,
366,0.084,
367,0.088,
368,0.091,
369,0.092,
370,0.096,
371,0.098,
372,0.1,
373,0.101,
374,0.108,
375,0.11,
376,0.112,
377,0.116,
378,0.117,
379,0.122,
380,0.125,
381,0.127,
382,0.13,
383,0.132,
384,0.135,
385,0.136,
386,0.139,
387,0.143,
388,0.144,
389,0.147,
390,0.148,
391,0.151,
392,0.154,
393,0.156,
394,0.158,
395,0.16,
396,0.162,
397,0.165,
398,0.165,
399,0.167,
400,0.168,
401,0.168,
402,0.17,
403,0.17,
404,0.171,
405,0.173,
406,0.173,
407,0.174,
408,0.176,
409,0.177,
410,0.178,
411,0.18,
412,0.182,
413,0.184,
414,0.186,
415,0.188,
416,0.19,
417,0.193,
418,0.197,
419,0.199,
420,0.203,
421,0.205,
422,0.208,
423,0.211,
424,0.215,
425,0.218,
426,0.222,
427,0.225,
428,0.23,
429,0.235,
430,0.241,
431,0.246,
432,0.252,
433,0.258,
434,0.266,
435,0.274,
436,0.283,
437,0.292,
438,0.302,
439,0.314,
440,0.325,
441,0.337,
442,0.35,
443,0.363,
444,0.377,
445,0.392,
446,0.407,
447,0.423,
448,0.439,
449,0.456,
450,0.473,
451,0.49,
452,0.508,
453,0.525,
454,0.543,
455,0.561,
456,0.579,
457,0.595,
458,0.612,
459,0.628,
460,0.644,
461,0.66,
462,0.674,
463,0.689,0.003
464,0.702,0.003
465,0.715,0.003
466,0.728,0.004
467,0.74,0.004
468,0.752,0.005
469,0.765,0.006
470,0.777,0.007
471,0.789,0.009
472,0.802,0.01
473,0.814,0.012
474,0.829,0.015
475,0.842,0.018
476,0.856,0.022
477,0.871,0.027
478,0.885,0.032
479,0.9,0.038
480,0.915,0.046
481,0.929,0.055
482,0.944,0.065
483,0.957,0.078
484,0.969,0.092
485,0.979,0.109
486,0.989,0.127
487,0.994,0.148
488,0.998,0.172
489,1,0.198
490,0.997,0.227
491,0.991,0.259
492,0.98,0.295
493,0.964,0.331
494,0.944,0.371
495,0.919,0.416
496,0.89,0.46
497,0.856,0.509
498,0.819,0.559
499,0.778,0.61
500,0.735,0.665
501,0.687,0.718
502,0.64,0.767
503,0.591,0.816
504,0.543,0.862
505,0.493,0.903
506,0.446,0.935
507,0.4,0.966
508,0.355,0.988
509,0.314,0.999
510,0.275,1
511,0.238,1
512,0.204,0.989
513,0.175,0.97
514,0.147,0.941
515,0.123,0.906
516,0.101,0.871
517,0.084,0.834
518,0.069,0.793
519,0.055,0.751
520,0.045,0.715
521,0.036,0.68
522,0.031,0.65
523,0.026,0.621
524,0.021,0.597
525,0.018,0.57
526,0.016,0.547
527,0.014,0.528
528,0.012,0.508
529,0.011,0.49
530,0.009,0.473
531,0.008,0.464
532,0.007,0.45
533,0.006,0.439
534,0.006,0.43
535,0.005,0.422
536,0.005,0.41
537,0.005,0.401
538,0.005,0.394
539,0.005,0.387
540,0.004,0.381
541,0.005,0.369
542,0.006,0.362
543,0.005,0.358
544,0.005,0.348
545,0.005,0.339
546,0.005,0.33
547,0.006,0.322
548,0.006,0.312
549,0.006,0.302
550,0.006,0.291
551,0.005,0.28
552,0.005,0.267
553,0.004,0.256
554,0.004,0.245
555,0.004,0.234
556,0.004,0.224
557,0.004,0.216
558,0.005,0.207
559,0.004,0.196
560,0.005,0.186
561,0.004,0.181
562,0.004,0.171
563,0.004,0.162
564,0.004,0.155
565,0.004,0.149
566,0.005,0.141
567,0.004,0.135
568,0.004,0.128
569,0.003,0.122
570,0.004,0.117
571,0.004,0.114
572,0.005,0.108
573,0.004,0.104
574,0.004,0.097
575,0.005,0.096
576,0.005,0.092
577,0.005,0.088
578,0.004,0.084
579,0.005,0.081
580,0.004,0.079
581,0.004,0.076
582,0.004,0.074
583,0.004,0.071
584,0.005,0.069
585,0.004,0.065
586,0.004,0.064
587,0.004,0.063
588,0.005,0.059
589,0.004,0.059
590,0.004,0.056
591,0.004,0.054
592,0.004,0.053
593,0.004,0.05
594,0.005,0.049
595,0.004,0.047
596,0.003,0.046
597,0.003,0.044
598,0.003,0.042
599,0.004,0.041
600,0.004,0.039
601,0.003,0.037
602,0.003,0.036
603,0.003,0.036
604,0.003,0.034
605,0.003,0.032
606,0.004,0.032
607,0.004,0.03
608,0.004,0.029
609,0.004,0.028
610,0.005,0.027
611,0.003,0.026
612,0.004,0.025
613,0.004,0.024
614,0.004,0.022
615,0.004,0.022
616,0.004,0.022
617,0.004,0.021
618,0.004,0.02
619,0.005,0.019
620,0.004,0.018
621,0.004,0.018
622,0.003,0.017
623,0.004,0.017
624,0.003,0.016
625,0.003,0.015
626,0.003,0.015
627,0.003,0.015
628,0.004,0.015
629,0.004,0.014
630,0.004,0.013
631,0.004,0.014
632,0.005,0.013
633,0.003,0.013
634,0.003,0.012
635,0.003,0.012
636,0.003,0.012
637,0.003,0.011
638,0.002,0.011
639,0.002,0.011
640,0.003,0.011
641,0.002,0.01
642,0.003,0.01
643,0.002,0.01
644,0.002,0.01
645,0.002,0.01
646,0.002,0.01
647,0.003,0.009
648,0.003,0.01
649,0.003,0.009
650,0.004,0.009
651,0.003,0.008
652,0.004,0.008
653,0.003,0.008
654,0.004,0.008
655,0.003,0.008
656,0.003,0.008
657,0.003,0.008
658,0.003,0.008
659,0.004,0.008
660,0.003,0.007
661,0.003,0.008
662,0.003,0.008
663,0.003,0.007
664,0.003,0.007
665,0.003,0.007
666,0.003,0.007
667,0.002,0.007
668,0.002,0.007
669,0.003,0.007
670,0.003,0.006
671,0.003,0.007
672,0.004,0.007
673,0.004,0.006
674,0.004,0.007
675,0.003,0.006
676,0.002,0.007
677,0.001,0.007
678,,0.007
679,0.002,0.007
680,0.001,0.006
681,0.001,0.007
682,,0.006
683,0.001,0.007
684,0.001,0.007
685,0.001,0.007
686,0.002,0.007
687,0.001,0.006
688,0.002,0.007
689,0.001,0.006
690,0.002,0.007
691,,0.006
692,0.001,0.007
693,0.001,0.007
694,,0.006
695,0.001,0.006
696,0.002,0.006
697,0.002,0.007
698,0.002,0.007
699,0.002,0.006
700,0.002,0.006
