Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0.665,0
401,0.618,0
402,0.624,0
403,0.652,0
404,0.673,0
405,0.677,0
406,0.678,0
407,0.658,0
408,0.691,0
409,0.726,0
410,0.762,0
411,0.795,0
412,0.787,0
413,0.841,0
414,0.893,0
415,0.871,0
416,0.907,0
417,0.947,0
418,0.987,0
419,1.031,0
420,1.074,0
421,1.111,0
422,1.132,0
423,1.208,0
424,1.277,0
425,1.353,0
426,1.41,0
427,1.423,0
428,1.501,0
429,1.55,0
430,1.647,0
431,1.716,0
432,1.795,0
433,1.921,0
434,2.018,0
435,2.098,0
436,2.214,0
437,2.332,0
438,2.483,0
439,2.685,0
440,2.916,0
441,3.151,0
442,3.324,0
443,3.55,0
444,3.889,0
445,4.287,0
446,4.623,0
447,4.961,0
448,5.224,0
449,5.517,0
450,5.768,0
451,6.124,0
452,6.425,0
453,6.839,0
454,7.181,0
455,7.54,0
456,7.975,0
457,8.391,0
458,8.934,0
459,9.56,0
460,10.032,0
461,10.697,0
462,11.413,0
463,12.043,0
464,12.758,0
465,13.585,0
466,14.265,0
467,15.289,0
468,16.261,0
469,17.293,0
470,18.808,0
471,20.3,0
472,21.666,0
473,22.98,0
474,24.571,0
475,26.165,0
476,27.918,0
477,29.477,0
478,31.222,0
479,32.573,0
480,34.011,0
481,35.276,0
482,36.474,0
483,37.471,0
484,38.356,0
485,39.175,0
486,39.931,0
487,40.584,0
488,41.251,0
489,41.746,0
490,42.295,0
491,43.133,0
492,44.063,0
493,45.011,0
494,46.473,0
495,47.95,0
496,49.264,0
497,51.159,0
498,53.216,0
499,55.652,0
500,57.949,3.386
501,60.862,3.421
502,64.075,3.558
503,67.272,3.812
504,70.754,4.258
505,74.605,4.903
506,78.882,5.837
507,82.395,7.114
508,86.766,8.644
509,90.505,10.579
510,93.863,12.886
511,96.861,15.744
512,98.602,19.016
513,100,22.975
514,99.849,27.558
515,99.446,32.558
516,96.753,38.164
517,93.407,44.291
518,88.926,50.868
519,83.209,57.697
520,77.159,64.489
521,70.784,70.682
522,64.278,76.338
523,57.615,81.343
524,50.653,86.473
525,44.223,90.905
526,38.099,94.649
527,32.641,97.534
528,27.825,99.069
529,23.527,99.774
530,19.609,100
531,16.536,99.166
532,13.772,97.925
533,11.451,96.574
534,9.592,95.158
535,8.063,93.119
536,6.746,90.406
