Wavelength,Excitation,Emission,,Wavelength,Excitation,,Wavelength,Emission
300,0,0,,300,0,,300,0
301,0,0,,301,0,,301,0
302,0,0,,302,0,,302,0
303,0,0,,303,0,,303,0
304,0,0,,304,0,,304,0
305,0,0,,305,0,,305,0
306,0,0,,306,0,,306,0
307,0,0,,307,0,,307,0
308,0,0,,308,0,,308,0
309,0,0,,309,0,,309,0
310,0,0,,310,0,,310,0
311,0,0,,311,0,,311,0
312,0,0,,312,0,,312,0
313,0,0,,313,0,,313,0
314,0,0,,314,0,,314,0
315,0,0,,315,0,,315,0
316,0,0,,316,0,,316,0
317,0,0,,317,0,,317,0
318,0,0,,318,0,,318,0
319,0,0,,319,0,,319,0
320,0,0,,320,0,,320,0
321,0,0,,321,0,,321,0
322,0,0,,322,0,,322,0
323,0,0,,323,0,,323,0
324,0,0,,324,0,,324,0
325,0,0,,325,0,,325,0
326,0,0,,326,0,,326,0
327,0,0,,327,0,,327,0
328,0,0,,328,0,,328,0
329,0,0,,329,0,,329,0
330,0,0,,330,0,,330,0
331,0,0,,331,0,,331,0
332,0,0,,332,0,,332,0
333,0,0,,333,0,,333,0
334,0,0,,334,0,,334,0
335,0,0,,335,0,,335,0
336,0,0,,336,0,,336,0
337,0,0,,337,0,,337,0
338,0,0,,338,0,,338,0
339,0,0,,339,0,,339,0
340,0,0,,340,0,,340,0
341,0,0,,341,0,,341,0
342,0,0,,342,0,,342,0
343,0,0,,343,0,,343,0
344,0,0,,344,0,,344,0
345,0,0,,345,0,,345,0
346,0,0,,346,0,,346,0
347,0,0,,347,0,,347,0
348,0,0,,348,0,,348,0
349,0,0,,349,0,,349,0
350,0,0,,350,0,,350,0
351,0,0,,351,0,,351,0
352,0,0,,352,0,,352,0
353,0,0,,353,0,,353,0
354,0,0,,354,0,,354,0
355,0,0,,355,0,,355,0
356,0,0,,356,0,,356,0
357,0,0,,357,0,,357,0
358,0,0,,358,0,,358,0
359,0,0,,359,0,,359,0
360,0,0,,360,0,,360,0
361,0,0,,361,0,,361,0
362,0,0,,362,0,,362,0
363,0,0,,363,0,,363,0
364,0,0,,364,0,,364,0
365,0,0,,365,0,,365,0
366,0,0,,366,0,,366,0
367,0,0,,367,0,,367,0
368,0,0,,368,0,,368,0
369,0,0,,369,0,,369,0
370,0,0,,370,0,,370,0
371,0,0,,371,0,,371,0
372,0,0,,372,0,,372,0
373,0,0,,373,0,,373,0
374,0,0,,374,0,,374,0
375,0,0,,375,0,,375,0
376,0,0,,376,0,,376,0
377,0,0,,377,0,,377,0
378,0,0,,378,0,,378,0
379,0,0,,379,0,,379,0
380,0,0,,380,0,,380,0
381,0,0,,381,0,,381,0
382,0,0,,382,0,,382,0
383,0,0,,383,0,,383,0
384,0,0,,384,0,,384,0
385,0,0,,385,0,,385,0
386,0,0,,386,0,,386,0
387,0,0,,387,0,,387,0
388,0,0,,388,0,,388,0
389,0,0,,389,0,,389,0
390,0,0,,390,0,,390,0
391,0,0,,391,0,,391,0
392,0,0,,392,0,,392,0
393,0,0,,393,0,,393,0
394,0,0,,394,0,,394,0
395,0,0,,395,0,,395,0
396,0,0,,396,0,,396,0
397,0,0,,397,0,,397,0
398,0,0,,398,0,,398,0
399,0,0,,399,0,,399,0
400,0,0,,400,0,,400,0
401,0,0,,401,0,,401,0
402,0,0,,402,0,,402,0
403,0,0,,403,0,,403,0
404,0,0,,404,0,,404,0
405,0,0,,405,0,,405,0
406,0,0,,406,0,,406,0
407,0,0,,407,0,,407,0
408,0,0,,408,0,,408,0
409,0,0,,409,0,,409,0
410,0,0,,410,0,,410,0
411,0,0,,411,0,,411,0
412,0,0,,412,0,,412,0
413,1.260630315,0,,413,1.260630315,,413,0
414,1.260630315,0,,414,1.260630315,,414,0
415,1.260630315,0,,415,1.260630315,,415,0
416,1.260630315,0,,416,1.260630315,,416,0
417,1.260630315,0,,417,1.260630315,,417,0
418,1.330665333,0,,418,1.330665333,,418,0
419,1.32066033,0,,419,1.32066033,,419,0
420,1.420710355,0,,420,1.420710355,,420,0
421,1.450725363,0,,421,1.450725363,,421,0
422,1.500750375,0,,422,1.500750375,,422,0
423,1.580790395,0,,423,1.580790395,,423,0
424,1.710855428,0,,424,1.710855428,,424,0
425,1.780890445,0,,425,1.780890445,,425,0
426,2.021010505,0,,426,2.021010505,,426,0
