Wavelength,mOrange (AB),mOrange (EM)
300,,0.151
301,,0.139
302,,0.13
303,,0.122
304,,0.115
305,,0.11
306,,0.107
307,,0.105
308,,0.105
309,,0.107
310,,0.11
311,,0.113
312,,0.117
313,,0.12
314,,0.123
315,,0.126
316,,0.128
317,,0.132
318,,0.135
319,,0.139
320,,0.143
321,,0.148
322,,0.154
323,,0.161
324,,0.168
325,,0.175
326,,0.18
327,,0.183
328,,0.184
329,,0.182
330,,0.176
331,,0.169
332,,0.158
333,,0.146
334,,0.134
335,,0.122
336,,0.112
337,,0.103
338,,0.094
339,,0.086
340,,0.08
341,,0.074
342,,0.069
343,,0.065
344,,0.062
345,,0.058
346,,0.056
347,,0.053
348,,0.051
349,,0.049
350,,0.047
351,,0.045
352,,0.043
353,,0.041
354,,0.039
355,,0.036
356,,0.034
357,,0.032
358,,0.03
359,,0.028
360,,0.026
361,,0.024
362,,0.022
363,,0.02
364,,0.019
365,,0.018
366,,0.017
367,,0.016
368,,0.015
369,,0.015
370,,0.014
371,,0.013
372,,0.012
373,,0.012
374,,0.011
375,,0.01
376,,0.009
377,,0.008
378,,0.007
379,,0.006
380,,0.005
381,,0.004
382,,0.004
383,,0.003
384,,0.003
385,,0.002
386,,0.002
387,,0.002
388,,0.002
389,,0.002
390,,0.001
391,,0.001
392,,0.001
393,,0.001
394,,0.001
395,,0.001
396,,0.002
397,,0.002
398,,0.002
399,,0.002
400,,0.002
401,,0.002
402,,0.002
403,,0.002
404,,0.002
405,,0.002
406,,0.003
407,,0.003
408,,0.003
409,,0.003
410,,0.003
411,,0.003
412,,0.004
413,,0.004
414,,0.004
415,,0.004
416,,0.005
417,,0.005
418,,0.005
419,,0.006
420,,0.006
421,,0.006
422,,0.007
423,,0.007
424,,0.008
425,,0.008
426,,0.008
427,,0.009
428,,0.009
429,,0.01
430,,0.011
431,,0.011
432,,0.012
433,,0.013
434,,0.014
435,,0.015
436,,0.016
437,,0.017
438,,0.018
439,,0.019
440,,0.02
441,,0.021
442,,0.023
443,,0.024
444,,0.025
445,,0.027
446,,0.028
447,,0.03
448,,0.032
449,,0.034
450,,0.035
451,,0.037
452,,0.039
453,,0.041
454,,0.044
455,,0.046
456,,0.049
457,,0.051
458,,0.054
459,,0.057
460,,0.06
461,,0.063
462,,0.067
463,,0.07
464,,0.074
465,,0.079
466,,0.083
467,,0.087
468,,0.091
469,,0.096
470,,0.102
471,,0.107
472,,0.114
473,,0.118
474,,0.122
475,,0.129
476,,0.134
477,,0.139
478,,0.144
479,,0.149
480,,0.153
481,,0.157
482,,0.162
483,,0.167
484,,0.171
485,,0.177
486,,0.183
487,,0.188
488,,0.196
489,,0.202
490,,0.21
491,,0.219
492,,0.225
493,,0.234
494,,0.245
495,,0.256
496,,0.269
497,,0.282
498,,0.296
499,,0.311
500,,0.327
501,,0.344
502,,0.361
503,,0.378
504,,0.395
505,,0.413
506,,0.429
507,,0.445
508,,0.459
509,,0.472
510,,0.483
511,,0.491
512,,0.498
513,,0.503
514,,0.506
515,,0.507
516,,0.508
517,,0.508
518,,0.506
519,,0.505
520,,0.505
521,,0.506
522,,0.508
523,,0.509
524,,0.515
525,,0.522
526,,0.53
527,,0.54
528,,0.552
529,,0.566
530,0.02,0.582
531,0.025,0.599
532,0.03,0.617
533,0.037,0.64
