Wavelength,mStrawberry (AB),mStrawberry (EM)
300,,0.161
301,,0.126
302,,0.111
303,,0.099
304,,0.087
305,,0.079
306,,0.073
307,,0.069
308,,0.066
309,,0.064
310,,0.063
311,,0.064
312,,0.066
313,,0.068
314,,0.07
315,,0.074
316,,0.077
317,,0.082
318,,0.087
319,,0.092
320,,0.098
321,,0.103
322,,0.108
323,,0.113
324,,0.117
325,,0.121
326,,0.126
327,,0.13
328,,0.136
329,,0.141
330,,0.149
331,,0.156
332,,0.163
333,,0.171
334,,0.179
335,,0.188
336,,0.194
337,,0.197
338,,0.2
339,,0.2
340,,0.195
341,,0.19
342,,0.181
343,,0.171
344,,0.162
345,,0.152
346,,0.143
347,,0.136
348,,0.13
349,,0.125
350,,0.122
351,,0.119
352,,0.117
353,,0.115
354,,0.113
355,,0.112
356,,0.112
357,,0.11
358,,0.11
359,,0.108
360,,0.107
361,,0.107
362,,0.106
363,,0.105
364,,0.103
365,,0.103
366,,0.101
367,,0.1
368,,0.098
369,,0.096
370,,0.093
371,,0.091
372,,0.088
373,,0.084
374,,0.08
375,,0.077
376,,0.074
377,,0.069
378,,0.065
379,,0.062
380,,0.059
381,,0.055
382,,0.052
383,,0.049
384,,0.047
385,,0.044
386,,0.042
387,,0.039
388,,0.037
389,,0.036
390,,0.033
391,,0.031
392,,0.029
393,,0.027
394,,0.025
395,,0.023
396,,0.021
397,,0.019
398,,0.017
399,,0.015
400,,0.013
401,,0.012
402,,0.01
403,,0.009
404,,0.008
405,,0.007
406,,0.006
407,,0.005
408,,0.004
409,,0.004
410,,0.003
411,,0.003
412,,0.003
413,,0.003
414,,0.003
415,,0.002
416,,0.003
417,,0.002
418,,0.003
419,,0.003
420,,0.003
421,,0.003
422,,0.003
423,,0.003
424,,0.004
425,,0.004
426,,0.004
427,,0.004
428,,0.004
429,,0.005
430,,0.005
431,,0.005
432,,0.006
433,,0.006
434,,0.006
435,,0.007
436,,0.007
437,,0.008
438,,0.008
439,,0.009
440,,0.009
441,,0.01
442,,0.01
443,,0.011
444,,0.012
445,,0.013
446,,0.013
447,,0.015
448,,0.015
449,,0.016
450,,0.017
451,,0.018
452,,0.02
453,,0.021
454,,0.022
455,,0.024
456,,0.025
457,,0.027
458,,0.028
459,,0.03
460,,0.031
461,,0.033
462,,0.035
463,,0.036
464,,0.038
465,,0.04
466,,0.043
467,,0.044
468,,0.046
469,,0.048
470,,0.051
471,,0.053
472,,0.056
473,,0.058
474,,0.06
475,,0.064
476,,0.067
477,,0.07
478,,0.074
479,,0.078
480,,0.082
481,,0.085
482,,0.089
483,,0.094
484,,0.098
485,,0.103
486,,0.108
487,,0.114
488,,0.119
489,,0.124
490,,0.13
491,,0.136
492,,0.141
493,,0.147
494,,0.153
495,,0.159
496,,0.165
497,,0.172
498,,0.179
499,,0.184
500,,0.19
501,,0.197
502,,0.203
503,,0.21
504,,0.217
505,,0.225
506,,0.232
507,,0.241
508,,0.249
509,,0.257
510,,0.267
511,,0.276
512,,0.286
513,,0.297
514,,0.307
515,,0.318
516,,0.332
517,,0.345
518,,0.355
519,,0.369
520,,0.384
521,,0.398
522,,0.413
523,,0.428
524,,0.444
525,,0.461
526,,0.475
527,,0.491
528,,0.506
529,,0.519
530,0.001,0.537
531,0.002,0.548
532,0.002,0.557
533,0.002,0.569
534,0.003,0.578
535,0.003,0.59
536,0.004,0.596
537,0.008,0.605
538,0.017,0.609
539,0.023,0.615
540,0.022,0.622
541,0.016,0.624
542,0.013,0.63
543,0.014,0.635
544,0.016,0.641
545,0.019,0.646
546,0.021,0.65
547,0.024,0.658
548,0.029,0.666
549,0.033,0.671
550,0.038,0.68
551,0.043,0.687
552,0.048,0.699
553,0.055,0.707
554,0.061,0.718
555,0.068,0.734
556,0.075,0.745
557,0.084,0.756
558,0.093,0.77
559,0.102,0.784
560,0.111,0.798
561,0.121,0.813
562,0.132,0.834
563,0.146,0.85
564,0.158,0.868
565,0.171,0.885
566,0.186,0.903
567,0.204,0.921
568,0.222,0.935
569,0.241,0.952
570,0.263,0.965
571,0.288,0.979
572,0.314,0.99
573,0.342,0.997
574,0.372,0.999
575,0.407,1
576,0.443,0.994
577,0.474,0.984
578,0.517,0.971
579,0.557,0.952
580,0.595,0.926
581,0.637,0.901
582,0.675,0.868
583,0.714,0.83
584,0.752,0.796
585,0.786,0.756
586,0.821,0.711
587,0.853,0.67
588,0.88,0.626
589,0.908,0.582
590,0.937,0.538
591,0.95,0.492
592,0.971,0.449
593,0.985,0.411
594,0.988,0.37
595,0.994,0.335
596,1,0.303
597,0.998,0.27
598,0.992,0.242
599,0.986,0.213
600,0.969,0.185
601,0.959,0.162
602,0.938,0.142
603,0.928,0.123
604,0.909,0.106
605,0.886,0.092
606,0.868,0.08
607,0.848,0.069
608,0.827,0.06
609,0.804,0.051
610,0.785,0.044
611,0.762,0.038
612,0.743,0.032
613,0.724,0.028
614,0.705,0.024
615,0.688,0.021
616,0.668,0.018
617,0.654,0.016
618,0.636,0.013
619,0.618,0.012
620,0.603,0.01
621,0.593,0.009
622,0.578,0.008
623,0.562,0.007
624,0.554,0.006
625,0.541,0.005
626,0.533,0.004
627,0.52,0.004
628,0.512,0.003
629,0.505,0.003
630,0.493,0.003
631,0.488,
632,0.481,
633,0.473,
634,0.464,
635,0.463,
636,0.456,
637,0.447,
638,0.445,
639,0.438,
640,0.427,
641,0.424,
642,0.415,
643,0.411,
644,0.408,
645,0.4,
646,0.392,
647,0.384,
648,0.378,
649,0.371,
650,0.366,
651,0.358,
652,0.352,
653,0.344,
654,0.335,
655,0.331,
656,0.32,
657,0.312,
658,0.305,
659,0.3,
660,0.291,
661,0.285,
662,0.278,
663,0.27,
664,0.261,
665,0.255,
666,0.251,
667,0.239,
668,0.24,
669,0.23,
670,0.224,
671,0.217,
672,0.208,
673,0.205,
674,0.2,
675,0.191,
676,0.187,
677,0.182,
678,0.177,
679,0.173,
680,0.167,
