Wavelength,mTangerine (AB),mTangerine (EM)
300,,0.192
301,,0.157
302,,0.122
303,,0.108
304,,0.098
305,,0.09
306,,0.084
307,,0.08
308,,0.078
309,,0.076
310,,0.076
311,,0.077
312,,0.079
313,,0.081
314,,0.084
315,,0.087
316,,0.091
317,,0.096
318,,0.1
319,,0.105
320,,0.11
321,,0.115
322,,0.12
323,,0.124
324,,0.13
325,,0.135
326,,0.139
327,,0.145
328,,0.15
329,,0.156
330,,0.161
331,,0.167
332,,0.173
333,,0.179
334,,0.183
335,,0.188
336,,0.19
337,,0.191
338,,0.192
339,,0.189
340,,0.185
341,,0.179
342,,0.173
343,,0.167
344,,0.161
345,,0.154
346,,0.147
347,,0.142
348,,0.136
349,,0.131
350,,0.126
351,,0.122
352,,0.117
353,,0.113
354,,0.11
355,,0.107
356,,0.104
357,,0.102
358,,0.099
359,,0.097
360,,0.096
361,,0.093
362,,0.091
363,,0.089
364,,0.087
365,,0.085
366,,0.083
367,,0.08
368,,0.077
369,,0.074
370,,0.071
371,,0.068
372,,0.065
373,,0.061
374,,0.058
375,,0.056
376,,0.052
377,,0.05
378,,0.047
379,,0.044
380,,0.042
381,,0.04
382,,0.038
383,,0.036
384,,0.034
385,,0.032
386,,0.03
387,,0.028
388,,0.026
389,,0.025
390,,0.023
391,,0.021
392,,0.019
393,,0.018
394,,0.016
395,,0.014
396,,0.013
397,,0.012
398,,0.011
399,,0.01
400,,0.009
401,,0.008
402,,0.007
403,,0.006
404,,0.006
405,,0.005
406,,0.005
407,,0.005
408,,0.004
409,,0.004
410,,0.004
411,,0.004
412,,0.004
413,,0.004
414,,0.004
415,,0.004
416,,0.004
417,,0.004
418,,0.004
419,,0.004
420,,0.005
421,,0.005
422,,0.005
423,,0.005
424,,0.005
425,,0.006
426,,0.006
427,,0.006
428,,0.006
429,,0.007
430,,0.007
431,,0.008
432,,0.008
433,,0.008
434,,0.009
435,,0.009
436,,0.01
437,,0.01
438,,0.011
439,,0.011
440,,0.012
441,,0.013
442,,0.014
443,,0.014
444,,0.015
445,,0.016
446,,0.017
447,,0.018
448,,0.019
449,,0.02
450,,0.021
451,,0.022
452,,0.024
453,,0.025
454,,0.026
455,,0.028
456,,0.03
457,,0.031
458,,0.033
459,,0.035
460,,0.037
461,,0.038
462,,0.04
463,,0.042
